,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
30382,1806669685.635339,345412084.372153,0.0,0.0,1.2757449820782154,scenario 4 option 83
30383,57995130.1919139,345412084.372153,0.0,0.0,0.048749403555217105,scenario 4 option 83
30384,7708064.325248858,345412084.372153,0.0,0.0,0.005380693894646923,scenario 4 option 83
30385,18005948.630920373,345412084.372153,0.0,0.0,0.010859911084512518,scenario 4 option 83
30386,11033994.638784057,345412084.372153,0.0,0.0,0.004096424500956286,scenario 4 option 83
30387,0.0,345412084.372153,0.0,0.0,0.0,scenario 4 option 83
30388,1423013431.1854808,345412084.372153,0.0,0.0,1.2449555027087678,scenario 4 option 83
30389,197526.24631438582,345412084.372153,0.0,0.0,0.0001733772859157333,scenario 4 option 83
30390,12281889.7869722,345412084.372153,0.0,0.0,0.007313900372175237,scenario 4 option 83
30391,81388225.93002501,345412084.372153,0.0,0.0,0.062249845973737755,scenario 4 option 83
30392,18730917.829286773,345412084.372153,0.0,0.0,0.01136320761779863,scenario 4 option 83
30393,0.0,345412084.372153,0.0,0.0,0.0,scenario 4 option 83
30394,4679971.473970313,345412084.372153,0.0,0.0,0.002466830152029697,scenario 4 option 83
30395,110604629.79017554,345412084.372153,0.0,0.0,0.07754197956695913,scenario 4 option 83
30396,8553901.64373507,345412084.372153,0.0,0.0,0.016250585373620802,scenario 4 option 83
30397,48403076.37960244,345412084.372153,0.0,0.0,0.03481022781046767,scenario 4 option 83
30398,4142478.7755687754,345412084.372153,0.0,0.0,0.0033066938224403128,scenario 4 option 83
30399,1804385308.500575,345412084.372153,0.0,0.0,1.277995428138722,scenario 4 option 83
30400,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30401,2223048.9553476213,223656192.13919768,473000000.0,185.19383298594454,0.0002557821323524472,scenario 4 option 86
30402,1472788.7512803709,223656192.13919768,473000000.0,78.16913292956339,0.00026096295517194257,scenario 4 option 86
30403,1548955.7723050257,223656192.13919768,473000000.0,62.20779079003806,9.469286666504619e-05,scenario 4 option 86
30404,227622372.87598205,223656192.13919768,473000000.0,1930.690120327857,0.019043843977631387,scenario 4 option 86
30405,7581391.323136944,223656192.13919768,473000000.0,456.996921933806,0.0012434125674255871,scenario 4 option 86
30406,25599654.500300534,223656192.13919768,473000000.0,841.0190178631254,0.0027173169173101007,scenario 4 option 86
30407,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30408,10835266.35075047,223656192.13919768,473000000.0,354.2266318762271,0.001168734176507472,scenario 4 option 86
30409,4093923.782851873,223656192.13919768,473000000.0,193.28192886204255,0.0006370423922982113,scenario 4 option 86
30410,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30411,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30412,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30413,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30414,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30415,6170412.96319178,223656192.13919768,473000000.0,323.7644025000728,0.000893159503616758,scenario 4 option 86
30416,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30417,19722092.51561067,223656192.13919768,473000000.0,840.5515558564784,0.00271308168266978,scenario 4 option 86
30418,27531116.326903522,223656192.13919768,473000000.0,1256.7817396945698,0.003391202132825374,scenario 4 option 86
30419,247688216.78491434,223656192.13919768,473000000.0,2660.7087868515277,0.0262445653361032,scenario 4 option 86
30420,28056622.933850423,223656192.13919768,473000000.0,320.27148678035434,0.003159077762149307,scenario 4 option 86
30421,138562639.86138195,223656192.13919768,473000000.0,6548.766547211684,0.01759074153041698,scenario 4 option 86
30422,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30423,460441.97394027264,223656192.13919768,473000000.0,23.529322620628758,7.889475135506173e-05,scenario 4 option 86
30424,5421512.62345668,223656192.13919768,473000000.0,352.6174819467366,0.0011541551788008318,scenario 4 option 86
30425,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30426,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30427,1797554134.3279464,223656192.13919768,473000000.0,23903.7376810532,0.23578048392504508,scenario 4 option 86
30428,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30429,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30430,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30431,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30432,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30433,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30434,96775755.98017131,223656192.13919768,473000000.0,1286.916616672859,0.012693823313281073,scenario 4 option 86
30435,71901412.4664721,223656192.13919768,473000000.0,732.0232523966189,0.007220494091652679,scenario 4 option 86
30436,69038866.69285633,223656192.13919768,473000000.0,2072.9573194598956,0.00800553063072544,scenario 4 option 86
30437,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
30438,1940129.7275301758,223656192.13919768,473000000.0,78.30850272319327,0.00026222565410662075,scenario 4 option 86
30439,4839218.202405509,223656192.13919768,473000000.0,51.98370176734383,0.0005127542195476232,scenario 4 option 86
30440,0.0,223656192.13919768,473000000.0,0.0,0.0,scenario 4 option 86
