,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
45,1378018234.381744,0,0.0,0.0,2.0234702987625397
46,3041767558.922056,0,0.0,0.0,2.009181960685587
47,3732700457.5043373,0,0.0,0.0,1.9760509554099497
48,2351307236.941235,0,0.0,0.0,2.3404828277185112
49,3226446549.8378067,0,0.0,0.0,1.986440470841118
50,2986254291.2936583,0,0.0,0.0,1.963083699698629
51,2342211751.242388,0,0.0,0.0,2.1630310031855027
52,726658966.5534091,0,0.0,0.0,1.07317461772569
53,2280822065.449897,0,0.0,0.0,3.537309082371334
54,3284579003.1997943,0,0.0,0.0,2.007774389519639
55,93554880.67295435,0,0.0,0.0,0.1175037147701149
56,2693091174.610849,0,0.0,0.0,3.578747398889692
57,721885630.5419015,0,0.0,0.0,0.7140270439066561
58,309598966.2644778,0,0.0,0.0,0.35561524219916746
59,3396098518.2181597,0,0.0,0.0,1.9962256154471132
60,2165253529.1932993,0,0.0,0.0,3.8001086797291017
61,397775717.8737809,0,0.0,0.0,0.39284185389625054
62,296513478.7694565,0,0.0,0.0,0.3882731975836004
63,2590772037.496063,0,0.0,0.0,2.0234113958459434
64,386144924.6834,0,0.0,0.0,0.42720179339958897
65,3012163513.628048,0,0.0,0.0,1.9338939060059868
66,218081332.5832138,0,0.0,0.0,0.18910517957456585
67,2077822876.2008457,0,0.0,0.0,2.085442059790537
68,2601956203.5126743,0,0.0,0.0,2.039519726314778
69,419181070.5984145,0,0.0,0.0,0.2846488291850454
70,534323126.7499156,0,0.0,0.0,0.5087069318456492
71,2265165507.2353525,0,0.0,0.0,1.4792266967540693
72,2829757234.964342,0,0.0,0.0,4.177480829735772
73,2353350771.877337,0,0.0,0.0,3.921662819657023
74,1962453675.5672688,0,0.0,0.0,3.8220996322077725
75,1395599991.945023,0,0.0,0.0,1.9794673514704135
76,1411040967.3023217,0,0.0,0.0,1.1658746977297465
77,1001339257.9105557,0,0.0,0.0,1.5251576326559098
78,2306306290.665882,0,0.0,0.0,3.7362414798111763
79,1094362155.3730826,0,0.0,0.0,0.9802437718782423
80,675076730.7990191,0,0.0,0.0,1.326330180783957
81,3017938999.1902475,0,0.0,0.0,2.1536212774168044
82,3037478042.139094,0,0.0,0.0,2.0033711596799795
83,461990643.98024017,0,0.0,0.0,0.49554367228833684
84,1585789262.0056615,0,0.0,0.0,1.1238863443060059
85,673602771.1891,0,0.0,0.0,0.5940534384241557
86,1083954932.0218134,0,0.0,0.0,1.6316960446334154
87,346231331.34946656,0,0.0,0.0,0.3172067978327708
88,4535083840.326624,0,0.0,0.0,5.340775765130939
89,2764844342.499692,0,0.0,0.0,1.7839903647701485
90,2200487716.739929,0,0.0,0.0,2.032348544692746
91,958970938.6573784,0,0.0,0.0,1.6624337945837195
92,2529238432.4588547,0,0.0,0.0,1.9570150191572373
93,2725990919.6998773,0,0.0,0.0,1.9965370948593244
94,395732949.2481479,0,0.0,0.0,0.32957259023769864
95,584308903.1861537,0,0.0,0.0,0.6110885539121961
96,431596401.0710576,0,0.0,0.0,0.3167798371942817
97,3044439639.9663763,0,0.0,0.0,1.9601331972074765
98,260864760.61126557,0,0.0,0.0,0.4083658337828635
99,1627840680.0732002,0,0.0,0.0,2.3330541274331145
100,4308649193.6980095,0,0.0,0.0,5.318308587934689
101,1503547814.1644497,0,0.0,0.0,1.2948120347428447
102,289353654.5714921,0,0.0,0.0,0.3513583587624341
103,93951096.49112281,0,0.0,0.0,0.1124123591340036
104,2113714176.8956635,0,0.0,0.0,3.744792268701757
105,2418991200.459163,0,0.0,0.0,3.75124109584543
106,3230759250.9337516,0,0.0,0.0,1.9897863978918982
107,529167259.5675058,0,0.0,0.0,0.4923964376943354
108,3079254723.62935,0,0.0,0.0,1.9931199348575919
109,4959104846.702689,0,0.0,0.0,3.1426728360130087
110,1006663745.3198004,0,0.0,0.0,0.7272959181308587
111,3076120598.7999396,0,0.0,0.0,1.9859073280957569
112,2233534973.502157,0,0.0,0.0,3.643290405210952
113,775523949.4012765,0,0.0,0.0,0.7754710287162493
